web_browser,operating_sys,from_url,to_url,city,longitude,latitude,timezone,time_in,time_out
Mozilla,Macintosh,direct,apod.nasa.gov,Curitiba,-25.4167,-49.25,America/Sao_Paulo,1970-01-01 00:00:01.331923324,1970-01-01 00:00:01.331923068
Mozilla,Windows,direct,www.nysdot.gov,Warrington,40.248901,-75.149803,America/New_York,1970-01-01 00:00:01.331923325,1970-01-01 00:00:01.319563556
Mozilla,iPad,direct,www.nps.gov,Surrey,49.136398,-122.821297,America/Vancouver,1970-01-01 00:00:01.331923325,1970-01-01 00:00:01.331502617
Mozilla,Windows,direct,www.nysdot.gov,Mount Laurel,39.957199,-74.916199,America/New_York,1970-01-01 00:00:01.331923325,1970-01-01 00:00:01.319563556
Mozilla,Windows,www.facebook.com,www.nasa.gov,Tholen,51.533298,4.2167,Europe/Amsterdam,1970-01-01 00:00:01.331923326,1970-01-01 00:00:01.331922854
Opera,Windows,direct,www.nasa.gov,Brno,49.200001,16.633301,Europe/Prague,1970-01-01 00:00:01.331923327,1970-01-01 00:00:01.331908247
Mozilla,Windows,www.facebook.com,www.nasa.gov,Woodbridge,38.678001,-77.319702,America/New_York,1970-01-01 00:00:01.331923328,1970-01-01 00:00:01.331905829
Mozilla,Windows,www.facebook.com,www.nasa.gov,Burke,38.785099,-77.286598,America/New_York,1970-01-01 00:00:01.331923331,1970-01-01 00:00:01.331922854
Mozilla,iPhone,https:,www.whitehouse.gov,Ruther Glen,37.955002,-77.437202,America/New_York,1970-01-01 00:00:01.331923332,1970-01-01 00:00:01.331840856
Mozilla,Windows,www.facebook.com,www.nasa.gov,Stockholm,59.333302,18.049999,Europe/Stockholm,1970-01-01 00:00:01.331923333,1970-01-01 00:00:01.331922854
Mozilla,Windows,t.co,www.nasa.gov,Hartland,43.574299,-72.408096,America/New_York,1970-01-01 00:00:01.331923334,1970-01-01 00:00:01.331749429
Mozilla,Windows,www.facebook.com,www.nasa.gov,Belo Horizonte,-19.9167,-43.9333,America/Sao_Paulo,1970-01-01 00:00:01.331923335,1970-01-01 00:00:01.331922854
Mozilla,Windows,direct,www.grants.gov,Bethel,60.9324,-161.800598,America/Anchorage,1970-01-01 00:00:01.331923335,1970-01-01 00:00:01.331218539
Mozilla,Windows,direct,patft.uspto.gov,Brooklyn,40.6525,-73.955399,America/New_York,1970-01-01 00:00:01.331923336,1970-01-01 00:00:01.329774330
Mozilla,Windows,t.co,radar.weather.gov,Larchmont,40.933399,-73.756302,America/New_York,1970-01-01 00:00:01.331923336,1970-01-01 00:00:01.246975140
Mozilla,Windows,direct,www2.ed.gov,Columbus,40.0532,-83.022003,America/New_York,1970-01-01 00:00:01.331923336,1970-01-01 00:00:01.310488059
